,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
197006,-12.3686,-8.1784,-7.5993,-8.2564,-6.0529,-10.1739,-6.9929,-8.2166,-7.0806,-6.1664,-7.995,-5.0518,-5.564,-4.5865,-6.9947,-2.7308,-5.1222,-4.071,-3.262,-10.119,-6.474,-3.7226,-3.3378,-2.3667,-8.2352
197007,4.7014,4.8437,5.3807,6.7969,3.8115,6.7704,7.9636,5.693,11.1171,7.2194,7.9241,6.3354,8.7513,5.5637,7.4306,6.0177,9.3639,8.7461,9.2207,11.5101,4.4984,8.1256,9.1008,10.7389,6.1437
197008,4.7161,6.7665,7.1699,6.9212,6.5285,9.6274,8.0055,7.3924,7.9988,4.4932,6.0103,8.0921,5.5467,6.549,7.043,4.5304,8.0504,3.9224,5.333,6.9499,4.0923,5.2806,4.3797,4.9123,6.2326
197009,22.6809,16.2744,16.0711,11.3225,11.5877,17.8326,17.3293,12.3411,7.0197,9.7608,14.8406,10.74,8.0828,5.0224,6.6542,9.527,6.3914,4.6562,4.0028,7.851,7.1002,0.3994,-0.3707,0.2546,4.402
197010,-11.5794,-6.8167,-11.568,-6.0329,-4.6515,-4.8522,-7.8152,-6.8477,-3.5718,-4.3439,-5.4659,-4.2764,-6.1402,-2.629,-4.7683,-2.943,-3.9422,-3.1558,-3.4356,-6.3644,-0.1294,-1.125,-3.3186,0.0579,-3.7705
197011,-4.533,-1.9622,-2.3158,1.0391,0.1743,0.8012,1.3432,2.655,5.8825,3.6429,3.2243,2.6484,5.3269,4.2289,2.1485,4.8023,3.4879,6.034,8.0041,5.2498,5.1148,6.7785,5.2743,5.877,5.6827
197012,7.3342,6.9484,10.859,11.754,10.6006,8.5923,8.5593,8.6541,9.2961,9.1294,6.2429,9.0015,10.4416,8.7214,8.5557,6.2356,10.7308,8.4282,10.0931,7.5763,4.7444,5.8791,7.3805,5.0978,6.9151
197101,15.3378,13.4731,15.9668,13.9183,15.8629,7.7567,12.0603,12.4574,10.6371,13.2023,8.2138,9.0906,10.2359,8.2884,10.0254,5.5369,7.0296,5.1779,8.3873,13.7494,4.0256,4.4322,3.2014,2.9716,4.036
197102,7.9078,7.5441,5.7717,3.4052,4.0553,4.3173,2.566,3.1233,2.1512,0.3418,4.5379,1.6023,2.4702,1.2509,2.0589,3.5219,2.8587,0.4585,3.1644,1.6188,2.3107,0.3803,0.6129,0.5275,1.2355
197103,8.2337,4.6534,7.7102,6.4207,5.1001,7.451,7.6298,5.5918,4.7359,1.6896,10.2775,9.0649,3.3134,3.043,4.6743,7.0845,6.3195,4.5797,2.2209,3.4981,5.7194,2.7839,5.1839,1.4104,2.5049
197104,0.7124,3.4097,2.79,2.7398,1.5041,1.9847,2.5856,2.2798,3.1846,6.6485,6.2673,4.3641,4.6881,2.1873,8.3662,2.9407,3.158,1.8023,4.1375,9.2164,3.5182,5.6089,0.6861,2.5394,6.1573
197105,-7.2251,-5.6007,-6.698,-5.4692,-6.2382,-2.8852,-6.2101,-5.3107,-4.5524,-4.507,-4.1922,-2.7397,-5.1426,-3.482,-3.9762,-1.835,-3.3665,-4.3334,-3.1108,-4.1404,-2.4665,-4.3336,-4.2425,-5.0257,-3.9279
197106,-1.051,-3.4146,-2.058,-1.2362,-2.1945,3.4435,-1.6005,0.5458,-2.1863,-3.3797,-1.3374,1.2542,-0.9022,-2.7383,-1.322,1.0181,1.0991,2.2623,0.4725,-4.0397,1.1907,-1.118,0.3596,0.7523,-0.0136
197107,-8.693,-8.2536,-7.1377,-5.9026,-6.1237,-6.254,-5.0212,-3.8452,-6.8894,-6.0689,-7.7801,-4.6226,-3.0208,-5.6164,-4.8645,-3.3611,-4.1775,-3.8308,-4.1529,-7.6865,-3.8997,-4.2359,-3.2809,-3.2967,-5.4943
197108,3.3568,4.3553,3.2447,4.5109,5.5905,3.8126,7.4508,3.5009,5.6475,8.3463,6.5752,4.553,2.2789,6.5719,9.0763,6.8631,3.8291,2.6126,3.3057,10.4271,5.3477,4.867,-1.1243,1.9668,13.6489
197109,1.6029,1.8328,-0.449,-0.5917,-2.1538,2.2058,-0.8946,-1.8581,-1.9291,-2.3013,1.342,0.0526,-1.1477,-0.944,-3.1595,1.93,-0.9536,-0.1321,-0.2522,-4.5547,0.2972,-1.2755,-1.2298,-1.4557,-2.1485
197110,-7.6143,-7.061,-6.7632,-4.6593,-7.1225,-5.7051,-5.3662,-3.3106,-4.6369,-6.4835,-7.7964,-6.48,-2.7308,-5.0827,-4.7511,-3.078,-3.3959,-2.245,-5.7328,-5.8504,-3.5413,-6.1529,-3.0175,-2.7071,-4.0209
197111,-3.4626,-5.9476,-3.6287,-4.4754,-5.4706,-2.0391,-2.3105,-1.7141,-2.7939,-2.0645,-1.8154,-1.1941,-1.194,-3.9562,-4.9385,0.1973,-1.8558,-2.4895,0.747,-4.2032,1.053,0.6682,0.2505,-0.55,0.2865
197112,14.1158,13.9603,11.0308,11.8317,12.9625,12.8132,13.9788,12.7723,11.0867,12.4891,13.6589,9.9252,10.148,11.8165,11.8179,12.4427,9.5834,8.622,8.0027,12.5141,8.3917,9.8387,8.5138,6.94,8.9455
197201,14.2909,13.8985,11.5459,10.7206,14.668,8.2785,6.7927,5.4259,6.9906,10.4317,5.3639,4.4874,2.394,5.5107,7.9983,2.8103,1.9338,1.724,3.2088,7.9686,2.7438,0.6149,-0.6653,0.8173,6.3915
197202,3.1049,5.5733,4.3438,4.2718,3.4596,5.1515,4.5114,4.2193,1.9249,3.694,6.5406,4.382,1.6947,0.509,2.0938,5.5301,1.5444,0.0138,2.1711,0.3998,4.6863,2.454,1.1482,0.3758,0.0593
197203,2.0309,0.5014,-1.8262,-1.3869,-0.8486,2.0305,1.6417,-0.9065,-0.7354,-1.3561,2.6255,1.0574,1.6183,0.8502,-1.4241,0.9864,-0.2784,3.177,1.6582,1.169,2.5422,0.4736,-3.1086,-1.9093,2.8562
197204,0.1183,0.591,-1.0359,1.0529,1.1717,0.1923,0.6046,2.059,1.5404,1.6177,1.7915,-0.984,-0.0266,1.1069,-0.1865,-0.9759,-0.6119,-0.3745,1.2523,3.5201,0.9814,1.2741,0.1887,0.1583,-1.0934
197205,-2.0591,-1.97,-3.7037,-2.1705,-2.4142,-0.4057,-1.575,-1.9418,-3.4782,-1.7592,1.4503,-2.1582,1.0055,-1.1291,-4.0373,4.1909,-1.908,-1.3047,-0.1437,0.6327,3.278,-0.5756,3.0205,0.9967,-2.6838
197206,-4.1986,-4.2656,-3.5004,-3.0135,-4,-3.942,-3.3006,-1.5547,-1.3559,0.9341,0.1678,-1.961,-3.9556,-5.3319,-5.8658,-4.24,-2.2103,-2.1552,-4.5865,-7.8073,-0.7118,-3.4758,-2.5874,-2.3438,-6.6753
197207,-6.7371,-5.0427,-3.5886,-3.5917,-2.7995,-5.3413,-4.8612,-3.4421,-1.9366,-4.1951,-3.3655,-1.4709,-3.1631,-0.9783,-0.3573,-3.6342,-2.8261,-2.0681,0.0058,-2.5804,1.616,-1.539,0.254,-1.3746,-1.6451
197208,-1.507,-2.3555,1.1239,-0.4669,2.2496,-0.5063,-1.6265,1.6323,1.6127,5.2534,0.2251,2.1338,2.8098,5.6772,2.8455,0.1321,2.6995,4.8851,5.2513,7.0215,0.7528,6.8195,7.3998,8.9123,6.1666
197209,-4.8516,-4.8496,-4.461,-3.9429,-4.1595,-3.507,-3.7835,-2.069,-2.5292,-2.9758,-1.3199,-2.8535,-0.9979,-2.0888,-2.7168,-1.9283,-3.2491,-0.5786,-2.373,-4.0723,0.1573,-1.629,-1.8187,2.0076,-3.76
197210,-3.5696,-2.7272,-2.467,-2.2129,-1.9552,-4.0685,-0.4292,1.5488,0.5279,-0.4729,-2.9586,-0.8236,1.5119,0.6182,-0.5841,-1.6237,0.2499,1.0631,2.3506,-0.6988,0.9982,0.9907,2.1373,2.3989,1.0565
197211,0.6383,4.1349,4.2884,5.9963,5.8901,4.1785,4.7685,7.6456,4.7139,7.1715,3.1327,4.2273,6.501,7.8544,7.481,6.7518,6.9367,7.026,7.0691,10.923,1.6207,6.7555,6.6457,8.119,13.854
197212,-1.9096,-2.9721,-2.8783,-2.5613,-1.5626,-0.5915,-2.6345,0.1867,-3.3134,-2.4192,0.8022,-0.297,-0.4741,-1.3168,-2.8743,0.3942,-1.4356,-0.9637,-1.5005,-4.4243,3.7077,-0.0452,-0.636,-0.0607,-2.6358
197301,-8.2353,-4.1703,-3.7418,-3.5422,-1.4036,-10.6243,-5.7361,-6.8526,-2.5851,-5.9936,-7.4501,-7.7104,-5.9861,-3.5535,-5.3689,-6.3545,-7.7212,-5.6412,-3.4546,-4.5369,-1.6008,-3.9189,-1.0486,0.6285,-4.3611
197302,-14.0724,-8.8725,-8.7173,-7.9842,-5.8995,-13.7546,-8.0697,-7.3379,-5.7697,-5.5491,-11.3053,-8.2496,-7.4249,-3.3674,-6.9672,-8.0046,-8.3208,-4.5091,-3.6302,-2.2767,-2.2274,-2.9497,-4.9409,-5.9409,-3.3864
